%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492810680677999489,1,0.449999988079,1,0.0923078805208,0,0.0
1492810680778048998,1,0.449999988079,1,0.0996283516288,0,0.0
1492810680877985736,1,0.449999988079,1,0.107017986476,0,0.0
1492810680977996128,1,0.449999988079,1,0.114476956427,0,0.0
1492810681078089511,1,0.449999988079,1,0.121967636049,0,0.0
1492810681178273552,1,0.449999988079,1,0.129466444254,0,0.0
1492810681278067931,1,0.449999988079,1,0.136951729655,0,0.0
1492810681378042113,1,0.449999988079,1,0.14439445734,0,0.0
1492810681478132434,1,0.449999988079,1,0.151785820723,0,0.0
1492810681577962516,1,0.449999988079,1,0.159072816372,0,0.0
1492810681678124079,1,0.449999988079,1,0.166272461414,0,0.0
1492810681777994844,1,0.449999988079,1,0.173317432404,0,0.0
1492810681877935070,1,0.449999988079,1,0.180205360055,0,0.0
1492810681978052038,1,0.449999988079,1,0.186927080154,0,0.0
1492810682078027176,1,0.449999988079,1,0.193431511521,0,0.0
1492810682178033213,1,0.449999988079,1,0.199708983302,0,0.0
1492810682278036098,1,0.449999988079,1,0.205728217959,0,0.0
1492810682377947562,1,0.449999988079,1,0.211470469832,0,0.0
1492810682478037888,1,0.449999988079,1,0.216914832592,0,0.0
1492810682578058234,1,0.449999988079,1,0.222030192614,0,0.0
1492810682678063075,1,0.449999988079,1,0.226792484522,0,0.0
1492810682778040078,1,0.449999988079,1,0.231182977557,0,0.0
1492810682878012859,1,0.449999988079,1,0.235175222158,0,0.0
1492810682977981394,1,0.449999988079,1,0.238745972514,0,0.0
1492810683077980884,1,0.449999988079,1,0.241867750883,0,0.0
1492810683178050421,1,0.449999988079,1,0.244520813227,0,0.0
1492810683278067687,1,0.449999988079,1,0.246680527925,0,0.0
1492810683378014744,1,0.449999988079,1,0.248320534825,0,0.0
1492810683477997777,1,0.449999988079,1,0.24941919744,0,0.0
1492810683578005110,1,0.449999988079,1,0.24995110929,0,0.0
1492810683677958741,1,0.449999988079,1,0.25,0,0.0
1492810683778078346,1,0.449999988079,1,0.25,0,0.0
1492810683877991784,1,0.449999988079,1,0.25,0,0.0
1492810683978004674,1,0.449999988079,1,0.25,0,0.0
1492810684078080977,1,0.449999988079,1,0.25,0,0.0
1492810684178049417,1,0.449999988079,1,0.25,0,0.0
1492810684278184424,1,0.449999988079,1,0.25,0,0.0
1492810684378064916,1,0.449999988079,1,0.25,0,0.0
1492810684477957094,1,0.449999988079,1,0.25,0,0.0
1492810684578042258,1,0.449999988079,1,0.25,0,0.0
1492810684678286721,0,0.0,0,0.0,0,0.0
